Camera Parameters
Camera Model,daA3840-45uc
FPS (Target),15
FPS (ACTUAL),15.0053
Auto Exposure Mode,Off
Exposure Time,20000
Resolution,1920x1080

Frame,PC Timestamp,Camera Time
170,2024-05-07 12:44:26.958719,40.624392
171,2024-05-07 12:44:27.025420,40.691067
172,2024-05-07 12:44:27.092060,40.757727
173,2024-05-07 12:44:27.159192,40.824822
174,2024-05-07 12:44:27.225424,40.891042
175,2024-05-07 12:44:27.292224,40.957845
176,2024-05-07 12:44:27.358933,41.024508
177,2024-05-07 12:44:27.425439,41.091064
178,2024-05-07 12:44:27.492004,41.157662
179,2024-05-07 12:44:27.559132,41.224671
180,2024-05-07 12:44:27.625361,41.290980
181,2024-05-07 12:44:27.692250,41.357851
182,2024-05-07 12:44:27.758693,41.424352
183,2024-05-07 12:44:27.825442,41.491008
184,2024-05-07 12:44:27.891926,41.557600
185,2024-05-07 12:44:27.959066,41.624694
186,2024-05-07 12:44:28.025305,41.690948
187,2024-05-07 12:44:28.092240,41.757852
188,2024-05-07 12:44:28.158640,41.824289
189,2024-05-07 12:44:28.225302,41.890935
190,2024-05-07 12:44:28.291945,41.957602
191,2024-05-07 12:44:28.358998,42.024601
192,2024-05-07 12:44:28.425282,42.090897
193,2024-05-07 12:44:28.492258,42.157848
194,2024-05-07 12:44:28.558592,42.224171
195,2024-05-07 12:44:28.625246,42.290847
196,2024-05-07 12:44:28.691906,42.357509
197,2024-05-07 12:44:28.758895,42.424512
198,2024-05-07 12:44:28.825204,42.490818
199,2024-05-07 12:44:28.892241,42.557840
200,2024-05-07 12:44:28.972466,42.638142
